depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.245,0.970966,0.98178,0.720895,1.227856,0.445094,1.612325
0.545,2.074143,2.081005,1.754493,2.400928,1.415128,2.789433
1.045,3.961938,3.969695,3.633478,4.310124,3.252489,4.725923
1.545,5.009215,4.999666,4.681231,5.316736,4.253059,5.692128
1.545,5.049032,5.039063,4.724267,5.352053,4.301832,5.698058
1.845,6.266892,6.269498,5.979042,6.568203,5.612423,6.940302
2.045,6.862853,6.856364,6.567724,7.142111,6.227261,7.449623
2.245,7.934801,7.942641,7.671224,8.217689,7.352795,8.570395
2.845,9.619702,9.627772,9.281609,9.977899,8.875172,10.417512
3.045,11.671719,11.673569,11.298291,12.074501,10.839557,12.453504
3.545,12.154988,12.122806,11.773424,12.474843,11.306932,12.776645
4.585,15.492801,15.487118,15.120951,15.855687,14.525722,16.355221
4.595,15.425143,15.414776,15.047374,15.797287,14.436176,16.258027
4.81,15.844374,15.838742,15.454654,16.217079,14.973798,16.705043
5.385,16.967002,16.957498,16.603874,17.299436,16.141217,17.77427
5.395,16.889646,16.885282,16.532695,17.239488,16.076089,17.704414
5.605,17.470282,17.458583,17.109049,17.813683,16.631675,18.188256
6.405,18.90373,18.912726,18.575816,19.263027,18.163071,19.745858
6.585,19.435194,19.4477,19.080411,19.812342,18.703679,20.279537
7.405,21.851068,21.819968,21.446978,22.182521,20.963189,22.568329
8,23.279996,23.278892,22.866836,23.683159,22.340263,24.238534
8.415,24.141456,24.153716,23.813282,24.521624,23.317723,24.962074
9.185,25.666509,25.660211,25.336073,25.965869,24.910684,26.403277
9.215,25.674707,25.663761,25.325541,25.979405,24.882606,26.452077
10.12,28.289522,28.294587,27.844894,28.733661,27.357182,29.350333
10.195,28.220445,28.226026,27.889649,28.555535,27.541839,28.933671
10.48,29.122359,29.118452,28.642068,29.612866,28.001704,30.116285
10.785,29.569777,29.555981,29.237557,29.861567,28.86801,30.241377
10.795,29.387826,29.38682,29.079908,29.713443,28.698552,30.010415
11.75,32.456862,32.476333,31.781589,33.166799,31.172164,33.89948
11.995,33.19238,33.137155,32.579048,33.654911,31.931068,34.115006
12.03,33.294527,33.254743,32.85758,33.669196,32.17595,34.032115
12.16,33.546551,33.485237,32.874629,34.061,31.958615,34.749383
12.67,36.052794,36.093626,35.450807,36.745104,34.681167,37.805508
12.795,35.407263,35.408216,34.843429,35.936698,34.229861,36.686668
12.83,35.88894,35.889501,35.50691,36.248904,35.007967,36.813223
13.36,38.304233,38.239473,37.18106,39.256105,35.94249,40.310544
13.405,37.647802,37.665866,36.90365,38.472262,36.120628,39.164569
13.51,37.658943,37.681456,37.10514,38.274445,36.54179,38.861271
13.615,39.446325,39.375694,38.732159,40.039384,37.552369,40.695768
13.785,39.8257,39.767551,39.202521,40.402304,37.962737,40.985984
14.04,40.049816,39.986138,39.334917,40.696983,37.994995,41.393671
14.16,40.498297,40.367179,39.387378,41.356469,37.632604,42.155116
14.39,41.334074,41.252145,40.640694,41.853474,39.662405,42.396693
14.74,42.879728,42.956761,42.53237,43.430958,42.182333,44.062286
14.815,43.630728,43.708405,42.713475,44.69504,41.717986,46.182065
14.83,44.197489,44.272145,43.185879,45.29813,42.322058,46.935739
15.35,48.680476,48.786146,47.333748,50.262116,45.921954,52.099255
15.405,46.813088,46.914407,45.084085,48.744648,43.322693,51.027612
15.46,46.800655,46.85654,45.886868,47.808425,44.860913,49.27535
15.48,48.636245,48.678708,46.562263,50.792296,44.651902,53.163839
15.815,47.765242,47.885181,45.85693,49.925961,44.103449,52.302912
15.98,50.199344,50.276113,48.358397,52.231876,46.454641,54.415112
