depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.525,9.118503,9.11912,8.728742,9.46975,8.311888,10.010924
0.655,10.747738,10.750207,10.319993,11.168191,9.761054,11.77833
0.755,12.185758,12.150838,11.709151,12.572355,11.154775,13.013688
0.855,13.110545,13.12936,12.784147,13.471835,12.239449,14.104047
0.955,14.1216,14.164515,13.657313,14.69196,13.209363,15.313998
1.005,14.53827,14.547178,14.095873,14.997319,13.611524,15.541697
1.105,17.78014,17.770142,17.392114,18.142779,16.905733,18.586537
1.205,18.306618,18.288437,17.859646,18.701763,17.254382,19.271257
1.505,23.520809,23.528514,23.008585,24.059702,22.377646,24.75128
1.705,28.281617,28.292368,27.711411,28.876992,27.052259,29.674668
2.205,42.268318,42.254798,40.646163,43.89895,38.535086,45.800038
