depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.03,0.379705,0.404021,0.172662,0.610849,0.033292,0.949135
0.68,6.382592,6.38377,6.085567,6.67843,5.719679,7.040525
0.98,9.835995,9.843901,9.513643,10.1752,9.071049,10.667836
1.23,11.671627,11.676126,11.284239,12.101441,10.790032,12.492018
1.63,12.818952,12.802889,12.518997,13.09358,11.944084,13.509666
3.08,19.206574,19.222544,18.886545,19.561685,18.490505,20.04869
3.43,22.690878,22.69254,22.371871,23.019165,21.916517,23.509475
3.88,25.397794,25.378131,25.065999,25.687649,24.551577,26.091197
4.83,30.177848,30.177601,29.827633,30.571879,29.266726,30.941281
5.83,35.714901,35.722969,35.184639,36.222752,34.553908,37.035456
6.63,40.849301,40.77608,40.120417,41.426469,39.195005,42.001716
7.78,45.153948,45.26879,43.605986,46.907278,42.28356,49.005642
