depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
1.54,14.6186,14.616708,14.165341,15.055734,13.688813,15.540609
1.72,15.941168,15.933184,15.523012,16.337886,14.99866,16.852849
1.86,15.976385,15.970392,15.590424,16.360368,15.048944,16.833409
1.86,16.1465,16.137581,15.733117,16.549483,15.210694,16.997016
2.26,17.401844,17.398098,17.011544,17.805536,16.49805,18.207656
2.46,18.675079,18.680571,18.324436,19.03061,17.887257,19.511884
2.78,20.568351,20.569768,20.170533,20.962083,19.634729,21.577291
3.14,22.239166,22.224879,21.862703,22.605835,21.292461,23.029932
3.46,24.43437,24.443847,24.018307,24.869861,23.561585,25.374492
3.46,24.332363,24.336733,23.931709,24.757729,23.434824,25.218996
3.7,26.073727,26.085172,25.69826,26.515122,25.15055,26.977062
3.9,27.819177,27.839214,27.444644,28.254227,27.005102,28.725276
4.14,29.659562,29.650958,29.271295,30.008818,28.835146,30.514667
4.14,30.08154,30.075251,29.699443,30.474036,29.179043,30.873017
4.22,30.441854,30.434714,30.004689,30.863025,29.334606,31.457575
4.5,33.197132,33.139884,32.435441,33.770664,31.699243,34.323675
