depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.17,0.567343,0.58067,0.328242,0.817495,0.088156,1.158305
0.29,0.802443,0.819163,0.564463,1.067045,0.280558,1.421592
0.53,0.991987,1.006875,0.739144,1.261075,0.467625,1.653569
0.65,2.051949,2.061304,1.741493,2.387384,1.356229,2.772438
0.75,1.53195,1.547094,1.257368,1.840199,0.906586,2.263588
0.89,4.211966,4.210329,3.867995,4.556382,3.445444,4.978699
1.01,4.120017,4.12274,3.778992,4.465902,3.383086,4.862785
1.23,5.201346,5.186499,4.871251,5.50066,4.429299,5.869086
1.58,7.397626,7.389712,7.118247,7.656374,6.730914,8.003142
1.86,7.881143,7.888609,7.618228,8.161267,7.267244,8.546973
2.02,9.893742,9.900368,9.555807,10.239752,9.130535,10.746992
2.3,11.6129,11.623458,11.2596,12.024915,10.777751,12.434568
2.59,13.1074,13.120423,12.839714,13.39301,12.500434,13.826623
2.78,13.111267,13.124215,12.851558,13.398392,12.502726,13.839914
3.24,14.72332,14.712309,14.293826,15.107685,13.856245,15.549854
3.28,17.164182,17.161476,16.807547,17.520409,16.359661,17.934092
3.5,19.026366,19.04197,18.722434,19.382854,18.284136,19.85326
4.12,23.099307,23.106233,22.770631,23.458345,22.389648,23.808687
