depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.525,8.67,0.12,0.0,0.2,2.0,9.02428085793949,9.014809966103009,8.721519215638414,9.300563525917049,8.452282222406165,9.562773591984204
0.655,9.91,0.15,0.0,0.2,2.0,10.68324197152477,10.68176787872117,10.417511538968844,10.944822057329041,10.228541537105354,11.174261977183932
0.755,10.96,0.17,0.0,0.2,2.0,11.960766608808092,11.959009025707159,11.727656792180044,12.194083699874533,11.499392357891102,12.428201198425972
0.855,11.77,0.16,0.0,0.2,2.0,13.100188179173648,13.102484312492924,12.88914465111274,13.31418737908645,12.68998269725702,13.54415320516712
0.955,12.59,0.2,0.0,0.2,2.0,14.10170566857827,14.109480540371576,13.877420246392736,14.340459788384363,13.658943475051009,14.61358961391693
1.005,12.9,0.14,0.0,0.2,2.0,14.777554828302515,14.770171842102947,14.548313449885443,15.00154903435542,14.26931182981877,15.254718522911102
1.105,15.38,0.14,0.0,0.2,2.0,17.23303821671655,17.22987847402615,16.99068188324748,17.472399624157305,16.722140028487132,17.715560267240445
1.205,15.84,0.21,0.0,0.2,2.0,18.575835127066767,18.58338034638978,18.278459537082217,18.866270142943264,18.0437794758186,19.23083822670348
1.505,20.35,0.3,0.0,0.2,2.0,23.49395149574042,23.518504989139668,23.092510202719623,23.953248744892456,22.657792020437196,24.51589043238639
1.705,24.93,0.42,0.0,0.2,2.0,28.17099699283162,28.202524205515715,27.76750291156938,28.64247879422129,27.392292454100154,29.190358046048107
2.205,39.3,1.9,0.0,0.2,2.0,41.72758512052852,41.481131599151375,39.688947876431804,43.20185381212797,37.007160818866815,44.76369054092248
