depth,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.175,2.8678795614234494,2.88237336032679,2.3035465168376446,3.4266099424940766,1.821081265180523,4.1298460936310635
0.225,3.690066021490585,3.7112001138995736,3.0876137301652316,4.2999459493829,2.633334099376658,4.987982611102926
0.275,4.619318511653847,4.639154457017892,3.9861874616288775,5.28005393652071,3.5235711744232967,5.957106911420129
0.375,6.578590804421474,6.561981271127145,5.969738006394746,7.163235322618928,5.391527440283473,7.726024405670988
0.525,9.02428085793949,9.014809966103009,8.721519215638414,9.300563525917049,8.452282222406165,9.562773591984204
0.555,9.414362322606689,9.406055763394095,9.136592054041573,9.686044216801948,8.85163711559565,9.934350884557942
0.605,10.041732621718861,10.032921980417202,9.75578527489052,10.295485066681517,9.4825740585611,10.526777032617254
0.655,10.68324197152477,10.68176787872117,10.417511538968844,10.944822057329041,10.228541537105354,11.174261977183932
0.705,11.324472550085341,11.318533947148321,11.052375409865398,11.577771201804174,10.828804783439145,11.826231601447097
0.725,11.577109342904347,11.572333065555776,11.321744083961361,11.823195624558434,11.059283772686955,12.055288837962568
0.755,11.960766608808092,11.959009025707159,11.727656792180044,12.194083699874533,11.499392357891102,12.428201198425972
0.805,12.551796448985755,12.55825935760637,12.328333256155094,12.792880625059174,12.155918600090345,12.990633716488047
0.855,13.100188179173648,13.102484312492924,12.88914465111274,13.31418737908645,12.68998269725702,13.54415320516712
0.905,13.58156264749956,13.588872089384871,13.350114701718738,13.816925284360057,13.148122519618859,14.128311865986118
0.955,14.10170566857827,14.109480540371576,13.877420246392736,14.340459788384363,13.658943475051009,14.61358961391693
1.005,14.777554828302515,14.770171842102947,14.548313449885443,15.00154903435542,14.26931182981877,15.254718522911102
1.055,15.846469943289708,15.850978125456137,15.592721469980596,16.118395069016987,15.339385706600108,16.36861842431396
1.075,16.419098763210144,16.41781229658102,16.163460079554145,16.674108652705023,15.902583517864329,16.910720725866675
1.105,17.23303821671655,17.22987847402615,16.99068188324748,17.472399624157305,16.722140028487132,17.715560267240445
1.155,18.021212646102896,18.03664780117719,17.75138865342044,18.318953687837933,17.498272923845068,18.621095838540974
1.205,18.575835127066767,18.58338034638978,18.278459537082217,18.866270142943264,18.0437794758186,19.23083822670348
1.305,19.902562092716686,19.91611824076489,19.52941768720402,20.324618674826116,19.139426311736425,20.766087871041183
1.405,21.57165168366807,21.569194360995784,21.088402049957928,22.060618615119026,20.61699083307695,22.512275449263576
1.505,23.49395149574042,23.518504989139668,23.092510202719623,23.953248744892456,22.657792020437196,24.51589043238639
1.605,25.726970112270767,25.742649677601307,25.16096973850865,26.346599879409524,24.621033129442377,26.84926458142583
1.705,28.17099699283162,28.202524205515715,27.76750291156938,28.64247879422129,27.392292454100154,29.190358046048107
1.755,29.390654613000528,29.46584849227826,28.824516145324626,30.174806585910094,28.25765233830092,30.78794866397823
1.805,30.70297744917437,30.75606538585772,29.817195543108603,31.710903385084894,29.04037252096941,32.5344884539661
1.905,33.49768503533416,33.52775192169817,32.23800866282925,34.91411866789791,30.820793543776205,35.94085308799547
2.005,36.67542352107668,36.57797887909948,35.27569936212525,38.025898241706706,32.85676731338453,38.997464347185556
2.205,41.72758512052852,41.481131599151375,39.688947876431804,43.20185381212797,37.007160818866815,44.76369054092248
