depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.03,0.92,0.03,0.0,0.2,2.0,0.32373200713863837,0.3361682044803281,0.14186562966293592,0.5271410661137249,0.04730303478485723,0.7152745387613076
0.68,6.145,0.05,0.0,0.2,2.0,6.304790217900233,6.299548113653769,6.071515734202154,6.512535096283232,5.83079979373762,6.745664384001676
0.98,9.23,0.06,0.0,0.2,2.0,9.616670478169473,9.625905965097843,9.425634370670242,9.846880070774269,9.150653396193281,10.067740851806187
1.23,10.56,0.08,0.0,0.2,2.0,11.334773696190261,11.33310593435844,11.166568582131365,11.51665510717818,10.913261831965416,11.676289301406012
1.63,11.48,0.08,0.0,0.2,2.0,12.950765672400973,12.956690304703399,12.807806265717819,13.107112247251282,12.657459227520677,13.270843767528579
3.08,16.65,0.09,0.0,0.2,2.0,19.303711884241395,19.303907925107872,19.056214953470715,19.540470762317028,18.86890688108782,19.829214532879796
3.43,19.59,0.12,0.0,0.2,2.0,22.538093140564527,22.545087554326006,22.327798765346078,22.777466751058743,22.09581232395256,22.999023358464438
3.88,22.03,0.12,0.0,0.2,2.0,25.283568961144375,25.28844454771642,25.08564964940461,25.51018312682621,24.874340770851582,25.683642023364936
4.83,26.81,0.21,0.0,0.2,2.0,30.278712561252,30.2996989083597,30.012307183189094,30.613283482602366,29.741468566812557,30.88197312237657
5.83,32.09,0.35,0.0,0.2,2.0,35.715424417985425,35.702771526932885,35.3897380986657,35.99843879530945,35.13367169507248,36.301248291719695
6.63,37.0,0.64,0.0,0.2,2.0,41.04090219901964,41.03618891538292,40.720937131733876,41.33748279276767,40.41179118315077,41.644931536445945
7.78,43.34,1.66,0.0,0.2,2.0,48.14695047118094,47.78961213448708,45.93953436707417,49.114357459784706,44.923872237978,49.76621238549435
