depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.245,1.57,0.03,0.0,0.2,2.0,1.0010203046045738,1.0028923153189029,0.8258310628170158,1.1688215167589846,0.7112458940368136,1.3407194379880056
0.545,2.565,0.03,0.0,0.2,2.0,2.033464412113208,2.0384008800602365,1.855818398612741,2.2202285086976357,1.7024942077931589,2.401963050346679
1.045,4.1,0.03,0.0,0.2,2.0,3.7734832401366467,3.7731360514959134,3.5791036449075295,3.966199214638127,3.397027632759974,4.129990654227227
1.545,4.915,0.03,0.0,0.2,2.0,5.168952525637648,5.163177523469872,5.007209582216967,5.299291703634091,4.895738036623527,5.454139267817281
1.545,4.95,0.03,0.0,0.2,2.0,5.168952525637648,5.163177523469872,5.007209582216967,5.299291703634091,4.895738036623527,5.454139267817281
1.845,6.045,0.03,0.0,0.2,2.0,6.212787069933339,6.212255371587699,6.047476512901844,6.363288829380624,5.919131622691457,6.539442309553945
2.045,6.585,0.03,0.0,0.2,2.0,6.987813415202376,6.987418135521721,6.829770906950304,7.135384437718474,6.689347856589506,7.270236707634745
2.245,7.645,0.03,0.0,0.2,2.0,7.769066830184264,7.765358142328603,7.61401884849548,7.915392811121788,7.459974553297212,8.067588291183332
2.845,9.06,0.03,0.0,0.2,2.0,10.001536393704644,9.992981760569004,9.796084352797745,10.171448992713009,9.579566994421272,10.41486340920124
3.045,10.56,0.03,0.0,0.2,2.0,10.828870865486813,10.838688052465583,10.65531310920602,11.028755654247629,10.442182226340101,11.247229390702037
3.545,10.905,0.035,0.0,0.2,2.0,12.268896557427134,12.267817392862895,12.088397541503134,12.445615340294413,11.896204155928054,12.60625329270591
4.585,13.55,0.06,0.0,0.2,2.0,15.243494315047469,15.24176925735112,15.129176599700902,15.351981412806072,15.023213236050301,15.459231253909547
4.595,13.5,0.055,0.0,0.2,2.0,15.27635180252318,15.275597917069014,15.165392720239165,15.383375456183114,15.058524983706455,15.491625780622543
4.81,13.82,0.07,0.0,0.2,2.0,15.917773796812625,15.914281580960793,15.818370112283489,16.012453925384822,15.710725122985357,16.097210203350095
5.385,14.7,0.055,0.0,0.2,2.0,17.060524870209722,17.062438030857624,16.940795092609225,17.179820592513632,16.82484048535065,17.320932208659055
5.395,14.65,0.065,0.0,0.2,2.0,17.084337795605634,17.0848838384057,16.962211749534987,17.202997713970117,16.843282206727118,17.34944751095781
5.605,15.11,0.08,0.0,0.2,2.0,17.593789146431185,17.602362081433757,17.4533406576668,17.758158007258885,17.309587194700157,17.909200602514826
6.405,16.38,0.09,0.0,0.2,2.0,19.05450458012142,19.066736887083344,18.91751977436854,19.22889690260509,18.76901124180431,19.407618130044046
6.585,16.85,0.1,0.0,0.2,2.0,19.435013409466517,19.437815360868626,19.26851162923021,19.599456742485554,19.113169894890532,19.793833544625947
7.405,18.82,0.1,0.0,0.2,2.0,21.801374768675686,21.793792543673906,21.590494017593997,21.97763223366357,21.4205172596166,22.15288320428016
8.0,20.12,0.21,0.0,0.2,2.0,23.247170195271096,23.24706788904287,23.055788894438145,23.433219928299412,22.896610351957555,23.610804903231415
8.415,20.9,0.11,0.0,0.2,2.0,24.126895225871472,24.12617175918741,23.960147884431642,24.287615942234087,23.80429213897433,24.467545773075297
9.185,22.3,0.11,0.0,0.2,2.0,25.6254332038838,25.613451829600983,25.468784538532542,25.74570568964621,25.28555309889873,25.87704388679844
9.215,22.3,0.13,0.0,0.2,2.0,25.677254054207445,25.666486544375505,25.52515218926276,25.80188118639765,25.33521479581042,25.921475251292733
10.12,24.95,0.27,0.0,0.2,2.0,28.02815691632201,28.026572555071407,27.854911832057976,28.185432976768237,27.696892779394513,28.370863109273706
10.195,24.9,0.12,0.0,0.2,2.0,28.237135446353314,28.235523294650935,28.067590949386013,28.399519367032884,27.909360723840358,28.561523806564548
10.48,25.76,0.29,0.0,0.2,2.0,28.920831412091214,28.926797339611962,28.778904921723075,29.071849760706264,28.654235473730495,29.231257721706196
10.785,26.2,0.12,0.0,0.2,2.0,29.567325678761954,29.562780848112446,29.411044537029724,29.70956854629941,29.264618860190755,29.837065130892537
10.795,26.0,0.11,0.0,0.2,2.0,29.588946533803735,29.58494473912501,29.431573419219877,29.730051854108016,29.281376135866918,29.86263931514144
11.75,29.03,0.39,0.0,0.2,2.0,32.32524424060927,32.33373140498761,32.151201227982426,32.52570487645229,31.95898303110587,32.7053051636973
11.995,29.6,0.24,0.0,0.2,2.0,33.16793636843268,33.16749046501364,33.00124406367669,33.32603001941108,32.85922528212966,33.475900770761285
12.03,29.66,0.14,0.0,0.2,2.0,33.28426220726184,33.28169932994567,33.11805000921136,33.440230105258905,32.97189910953577,33.59075557597335
12.16,29.95,0.36,0.0,0.2,2.0,33.68591618706759,33.6851183928494,33.52627673899202,33.844832320921775,33.364725337041506,33.97549495948996
12.67,32.41,0.42,0.0,0.2,2.0,35.39941224026336,35.398333612904416,35.243619835986166,35.552752835874976,35.0654092871613,35.70142139607672
12.795,31.8,0.36,0.0,0.2,2.0,35.83843219757347,35.8367881623732,35.683027108408886,35.98443358054101,35.526441542108415,36.12811771250404
12.83,32.27,0.19,0.0,0.2,2.0,35.95480736180599,35.95566907249376,35.804219293329325,36.10079016683578,35.66212904021482,36.24228406373442
13.36,34.32,0.72,0.0,0.2,2.0,37.684327157503105,37.68533438233021,37.50198152094703,37.87135521311752,37.324143248682624,38.04665656364418
13.405,33.74,0.43,0.0,0.2,2.0,37.84012418610206,37.842644900717495,37.65537509621216,38.02923748629345,37.48939550277882,38.20618963232102
13.51,33.74,0.23,0.0,0.2,2.0,38.23903084520241,38.23827983416608,38.05523692984914,38.41832991960522,37.900754764441416,38.60087101243629
13.615,35.3,0.46,0.0,0.2,2.0,38.67621716366983,38.67632076828265,38.492959082811225,38.872011483444695,38.30636199489003,39.059352407966614
13.785,35.7,0.49,0.0,0.2,2.0,39.380020942061975,39.38479680084884,39.199827336295655,39.574077674307624,38.99056729754898,39.79531452295603
14.04,36.01,0.6,0.0,0.2,2.0,40.26428123475696,40.269311654317725,40.057114426583745,40.49208408415772,39.826862151431605,40.696768393871736
14.16,36.64,0.97,0.0,0.2,2.0,40.633826422458164,40.63453500638025,40.4074917066988,40.86149253819663,40.18637322900926,41.09697791606238
14.39,37.7,0.68,0.0,0.2,2.0,41.36748266967485,41.373778353734245,41.15027535828394,41.60333836844979,40.93176638730727,41.81429190792379
14.74,40.45,0.43,0.0,0.2,2.0,42.92661666555708,42.950896792421624,42.727868233252984,43.170629981354686,42.566131581361965,43.461182962624726
14.815,41.37,1.12,0.0,0.2,2.0,43.39768000560352,43.41455416532497,43.1721627053898,43.65701401493176,42.98462410967622,43.937456976758995
14.83,42.2,1.1,0.0,0.2,2.0,43.49828384417357,43.51276375512136,43.26700747098329,43.75823988537346,43.08853430569609,44.045678720923036
15.35,46.94,0.96,0.0,0.2,2.0,46.890784598652274,46.885876855532146,46.57772270630656,47.17542930998748,46.266563714384866,47.47233802381342
15.405,45.2,1.7,0.0,0.2,2.0,47.18241265388557,47.18089413269759,46.875562454591766,47.469940170858216,46.572136365945354,47.79897906184634
15.46,45.2,0.77,0.0,0.2,2.0,47.46370912420981,47.46203563185658,47.163643757735684,47.771590925824015,46.87200258950512,48.065017608062796
15.48,46.9,1.8,0.0,0.2,2.0,47.56199233023928,47.5619711694633,47.25017129163423,47.862489581749,46.98572049741112,48.1691916196345
15.815,46.1,1.8,0.0,0.2,2.0,49.07228688745836,49.0714649514354,48.699415769616806,49.43947225590278,48.29941492809293,49.814262206771495
15.98,48.13,1.4,0.0,0.2,2.0,49.77183584409103,49.762565119638,49.34438219414525,50.17938191863704,48.902678938197184,50.564994363324665
