depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.14,3.37181,2.0410409046170637,2.2350838129551427,1.385141999499256,2.9654882828481575,0.9635089356507246,4.6919129967329845
0.16,3.24673,2.1478873060548644,2.3230978175968464,1.4883875280351795,3.0231666544226323,1.028254406065331,4.767887412415414
0.24,3.1721,2.561169110393447,2.6913145957869467,1.860613943233832,3.432711540780568,1.367131207077809,4.975006503868602
0.32,3.34656,2.987614053390467,3.086482797839183,2.270056193091644,3.8768492654239184,1.6731008796011566,5.225560656747225
0.36,3.19973,3.2107854993433538,3.303936432610529,2.499919183591614,4.099366565303545,1.9109876523037972,5.352477943585707
0.42,3.26782,3.6037367981082538,3.6681158430569756,2.854342616821418,4.46117489963841,2.237605484168664,5.5803787785188055
0.48,3.32194,4.04911420647338,4.084970105766259,3.300832351829552,4.853670446452678,2.630560037008364,5.8696137051656745
0.56,3.30186,4.703166120722018,4.723128295811417,3.9817379302189067,5.440909887809361,3.331148925440324,6.237828097810777
0.64,3.21994,5.4513477771791425,5.45420941829985,4.7872381475783765,6.125724170509586,4.156885052926379,6.787646764202669
0.72,3.24501,6.322827879152863,6.3095962477291305,5.718051207975259,6.896273013569472,5.170764786782589,7.421210224787186
0.79,3.41094,7.13795088421534,7.131618139125882,6.591620848177975,7.666189588666001,6.066287062107149,8.16745692229379
0.8,3.32441,7.265002789060411,7.2562095753199705,6.719434253097466,7.788841524813479,6.212353732086438,8.304748723611524
0.84,3.46321,7.767075886102274,7.764191071749059,7.256152507507792,8.275587934574265,6.7698075425398825,8.792853463451035
0.94,3.83578,9.040456147280135,9.016112774299177,8.566773882543446,9.460385140970235,8.074940086309935,9.819522081632735
0.98,3.46544,9.507897151226103,9.494332549160648,9.079961555738207,9.923533675212344,8.579132749328469,10.264829874839327
1.0,3.51023,9.737714428739256,9.729029307798559,9.354468162113088,10.138684254633167,8.84386381997414,10.488300115076166
1.02,3.49352,9.960151900265064,9.961523163747927,9.604585728104832,10.345786347182356,9.109816406202938,10.692305252443722
1.04,3.277,10.20368634328463,10.19002850058577,9.851027992127067,10.557726060162151,9.367609214947384,10.889355031977699
1.06,3.672163423,10.438648644690428,10.415390969682887,10.082227970971369,10.758051197408387,9.615157407769033,11.058983098139928
1.1,3.77158,10.8724514855614,10.8523184858467,10.538489255638767,11.166537372909026,10.158471167108042,11.444939899827478
1.12,3.57923,11.074272565374063,11.060472626322902,10.770099676387456,11.348878470178136,10.418922606861342,11.61766601240735
1.13,3.67046,11.17469769690559,11.16150382253822,10.878394959966935,11.438512688169505,10.55380953894045,11.702651407982717
1.14,3.79339,11.270877243421896,11.260772044121346,10.982077158080347,11.526239113850778,10.658032176934272,11.79321327941398
1.16,3.46087,11.468472153172028,11.455447745282036,11.189659649769892,11.718825310893408,10.862254465862733,11.983042809551751
1.18,3.91175,11.654042348266781,11.645317719192404,11.382521664489218,11.906061450948652,11.065017300902555,12.158509455062239
1.2,3.76662,11.837668924678084,11.83042130108758,11.574857055846884,12.079519227654838,11.273543608256336,12.346219657986548
1.22,3.87291,12.020605688509075,12.010157576973063,11.752059125758828,12.273401674909053,11.472525375827157,12.510706336533708
1.26,3.71855,12.364860367160457,12.35910578608246,12.098844939887854,12.623213055459106,11.84040048603013,12.860899150635927
1.3,4.19338,12.695228850309139,12.690632511610113,12.42439955997485,12.94984235840244,12.197060541057013,13.202012503928833
1.32,4.10602,12.845011124602642,12.845303569746521,12.580676408582926,13.106135352525248,12.360728825930002,13.35355577181383
1.34,3.88111,12.986880183535867,12.992250714911156,12.731763049578886,13.252979228515077,12.494721077799735,13.498933770996747
1.36,4.11884,13.131247731740611,13.131651905267562,12.86590452507675,13.393134972592403,12.637771938195504,13.620504830707768
1.38,4.23542,13.268036493550252,13.262915232210696,12.996946609523398,13.523906497936999,12.775610746940144,13.734274764879439
1.4,4.28395,13.3978288508942,13.38852912755635,13.12860842222645,13.646157344184592,12.904482450969194,13.868038284841932
1.46,4.10734,13.748900547248285,13.743252153052198,13.48041409381988,13.993553522078635,13.269099234274208,14.230251646963849
1.48,3.96341,13.860929939431834,13.857748025227396,13.602166225240456,14.100217349932462,13.396997030849732,14.361408942798343
1.5,3.97216,13.97284708080863,13.97312081814694,13.734269013398693,14.204769885935184,13.537023379163994,14.454563391585161
1.54,4.27103,14.2052321187446,14.205338677691962,13.97868112450646,14.434132230094193,13.783163893160388,14.645059065427903
1.56,4.23516,14.326327943812096,14.320235292047535,14.10071825034751,14.538822789917328,13.894635781989644,14.742654552833976
1.62,4.26955,14.668337883312578,14.660215600425982,14.451004495669178,14.853181627420035,14.251663522732759,15.067210063994498
