depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.17,1.13,0.05,0.0,0.2,2.0,0.4717943551252768,0.4734307179641915,0.3499060153607403,0.5967469212125993,0.2416817298655349,0.7318896463939317
0.29,1.39,0.04,0.0,0.2,2.0,0.6933898850339473,0.6921133091616563,0.563201132359404,0.8196972154185028,0.4557569915781094,0.9394093451038438
0.53,1.6,0.04,0.0,0.2,2.0,1.2367739458474136,1.2376268421566696,1.0968522293372347,1.3838365835084372,0.9560799478428814,1.5193230141387768
0.65,2.55,0.04,0.0,0.2,2.0,1.7469485396787716,1.7515831271403968,1.585169970852857,1.9209937899749772,1.4279899789852606,2.081553268460701
0.75,2.1,0.04,0.0,0.2,2.0,2.3303938829248887,2.3463061774881435,2.163198462272601,2.557796758859844,1.9846914018408897,2.709480115178568
0.89,4.29,0.04,0.0,0.2,2.0,3.5362996108215343,3.531178821214588,3.32431089845049,3.740241179044123,3.1039633108170093,3.9425079447005666
1.01,4.22,0.04,0.0,0.2,2.0,4.33471688565779,4.3373664945068136,4.15121024600872,4.5329039056018585,3.930131739996839,4.709014613318016
1.23,5.08,0.04,0.0,0.2,2.0,5.419243023017143,5.421245432819085,5.240876680996837,5.605119191691705,5.051849831954577,5.808946822110379
1.58,7.1,0.04,0.0,0.2,2.0,7.183957967523778,7.170671195331376,6.951133586156972,7.369810309352271,6.732683333785596,7.5427480612174715
1.86,7.59,0.04,0.0,0.2,2.0,8.328603138285471,8.356971835562781,8.140913872575444,8.566987531735618,7.983912678908387,8.860091458704833
2.02,9.28,0.06,0.0,0.2,2.0,9.578362306134235,9.575070274500113,9.372812277865789,9.786385928221543,9.113326104305798,9.995490469275024
2.3,10.52,0.04,0.0,0.2,2.0,11.330501383517369,11.343421928610976,11.163418907929367,11.542323082810578,10.939689148251958,11.765917223958914
2.59,11.78,0.04,0.0,0.2,2.0,12.760743351230632,12.751435343590643,12.602916157589698,12.903674664436425,12.414979904229932,13.029949283468182
2.78,11.78,0.04,0.0,0.2,2.0,13.374080747583257,13.375993978314062,13.222790135677963,13.546460833901698,13.0514128236965,13.719986544264062
3.24,13.03,0.04,0.0,0.2,2.0,16.330072711556483,16.33225766683549,16.117118731593187,16.54407505264862,15.88170691022177,16.739497593552915
3.28,14.86,0.06,0.0,0.2,2.0,16.797703127421283,16.78682467775327,16.575693759789793,16.997796178179264,16.376641300206803,17.175195515739723
3.5,16.49,0.08,0.0,0.2,2.0,18.935380535881464,18.9415895297675,18.719989407018254,19.166780154339406,18.472663626951,19.39958690346668
4.12,19.96,0.08,0.0,0.2,2.0,23.135664228251606,23.146637012556358,22.927523399305322,23.394315031881142,22.654385588628173,23.633171832277966
